trade_date,open,high,low,close,pre_close,volume,change,pct_change,value,ema_fast,ema_slow,diff,dea,bar
2018-03-05,18.7064,19.2132,18.5291,18.6558,18.5206,362210.81,0.1351999999999975,0.73,807846.073,19.08775157198704,19.392798421202027,-0.30504684921498537,-0.05931116387162577,-0.4914713706867192
2018-03-06,18.7909,19.4327,18.0815,19.4327,18.6558,536503.48,0.7769000000000013,4.1644,1197529.564,19.14082056091211,19.39575409370558,-0.2549335327934692,-0.09843563765599446,-0.3129957902749495
2018-03-07,19.1709,19.5594,19.002,19.0274,19.4327,310629.93,-0.4053000000000004,-2.0857,708092.558,19.12337124384871,19.368468605282946,-0.24509736143423666,-0.1277679824116429,-0.23465875804518754
2018-03-08,18.9936,19.4834,18.9176,19.2892,19.0274,300117.45,0.2618000000000009,1.3759,686425.269,19.148883360179678,19.36259685674347,-0.21371349656379124,-0.14495708524207257,-0.13751282264343734
2018-03-09,19.3229,19.7959,19.1963,19.4074,19.2892,341697.82,0.118199999999998,0.6128,787823.312,19.188655150921264,19.365915608095804,-0.17726045717454042,-0.15141775962856613,-0.05168539509194858
2018-03-12,19.5341,19.5341,18.4109,18.6135,19.4074,699574.4,-0.7939000000000007,-4.0907,1543134.565,19.100169743087225,19.310181118607225,-0.2100113755200006,-0.16313648280685303,-0.09374978542629514
2018-03-13,18.5375,18.6811,18.3433,18.3517,18.6135,256788.29,-0.2617999999999973,-1.4065,560688.86,18.985020551843036,19.23918251722891,-0.254161965385876,-0.18134157932265765,-0.14564077212643667
2018-03-14,18.5291,18.9514,18.4446,18.7318,18.3517,376450.1,0.3800999999999987,2.0712,833470.593,18.946063543867186,19.201598627063806,-0.25553508319661944,-0.19618028009745003,-0.11870960619833881
2018-03-15,18.7402,19.1371,18.6727,18.8078,18.7318,292641.87,0.0760000000000005,0.4057,655851.036,18.92479222942608,19.172428358392413,-0.24763612896633092,-0.20647144987122623,-0.08232935819020937
2018-03-16,18.7656,19.4074,18.6895,18.9682,18.8078,291556.0,0.1603999999999992,0.8528,660803.916,18.931470347975914,19.157300331844827,-0.22582998386891262,-0.21034315667076353,-0.030973654396298178
2018-03-19,18.9007,18.9007,18.4615,18.5966,18.9682,196894.96,-0.3716000000000008,-1.9591,434156.194,18.879951832902698,19.115766973930395,-0.23581514102769674,-0.2154375535421502,-0.0407551749710931
2018-03-20,18.4109,18.5375,18.2166,18.4446,18.5966,166856.28,-0.1519999999999974,-0.8174,362982.362,18.812974627840745,19.066050901787403,-0.25307627394665744,-0.22296529762305164,-0.060221952647211585
2018-03-21,18.5375,19.002,18.4784,18.6304,18.4446,267689.31,0.1858000000000004,1.0073,595899.468,18.784886223557553,19.033780464617966,-0.24889424106041247,-0.22815108631052383,-0.041486309499777274
2018-03-22,18.6642,18.7487,17.997,18.0984,18.6304,272451.99,-0.532,-2.8555,587287.552,18.679272958394854,18.964493022794414,-0.28522006439956016,-0.2395648819283311,-0.09131036494245809
2018-03-23,17.4988,17.9464,17.1525,17.769,18.0984,356835.5,-0.3294000000000032,-1.8201,736519.544,18.539230964795646,18.8759379840689,-0.3367070192732555,-0.258993309397316,-0.15542741975187901
2018-03-26,17.313,17.8197,17.313,17.693,17.769,213887.8,-0.0759999999999969,-0.4277,444682.531,18.409041585596317,18.788312948211946,-0.3792713626156292,-0.2830489200409787,-0.19244488514930103
2018-03-27,18.073,18.2419,17.5579,17.8197,17.693,280938.39,0.1266999999999996,0.7161,594228.408,18.31837364935073,18.716563840936985,-0.3981901915862558,-0.3060771743500341,-0.18422603447244335
2018-03-28,17.6508,18.073,17.4059,17.7352,17.8197,202622.51,-0.084500000000002,-0.4742,425303.376,18.228654626373693,18.6438702230898,-0.41521559671610575,-0.3279048588232485,-0.17462147578571452
2018-03-29,17.7606,18.9936,17.3974,18.698,17.7352,566404.75,0.9628000000000014,5.4288,1225371.57,18.300861606931587,18.647879836194257,-0.34701822926266956,-0.33172753291113277,-0.030581392703073584
2018-03-30,18.6473,18.6473,18.2588,18.4109,18.698,292112.71,-0.2870999999999988,-1.5355,636796.88,18.317790590480573,18.630325774253944,-0.3125351837733703,-0.3278890630835803,0.030707758620419967
2018-04-02,18.4024,18.9598,18.3095,18.3686,18.4109,300428.13,-0.0423000000000008,-0.2298,662086.194,18.32560742271433,18.610938679864763,-0.28533125715043184,-0.31937750189695063,0.06809248949303759
2018-04-03,18.073,18.5037,17.8366,18.1153,18.3686,212097.02,-0.2532999999999994,-1.379,454861.501,18.293252434604433,18.574224703578484,-0.28097226897405037,-0.3116964553123706,0.061448372676640495
2018-04-04,18.0815,18.4953,17.9886,18.1406,18.1153,216043.67,0.0252999999999978,0.1397,467162.743,18.26976744466529,18.54210435516526,-0.2723369104999698,-0.3038245463498905,0.0629752716998414
2018-04-09,18.1237,18.3011,17.8872,18.0224,18.1406,225398.98,-0.118199999999998,-0.6516,482365.711,18.231710914716786,18.50360773626413,-0.27189682154734385,-0.2974390013893812,0.051084359684074654
2018-04-10,18.1828,18.6642,18.0561,18.546,18.0224,309540.14,0.5235999999999983,2.9053,675307.289,18.280063081683434,18.50674790394827,-0.22668482226483633,-0.2832881655644722,0.1132066865992718
2018-04-11,18.6642,19.3061,18.546,18.9851,18.546,421616.41,0.4390999999999998,2.3676,945318.57,18.388530299885982,18.542181392544695,-0.15365109265871268,-0.25736075098332034,0.2074193166492153
